filename,bundle,ext
27034_S12_M1_response-25-nov-2020---.pdf,1._EUA_Material.zip,.pdf
1---0_14-Dec-2020_---__RO_  (1).pdf,4._EUA_LARD_Material_CBER_Correspondence.zip,.pdf
10---4_18-Apr-2021_---__RE_ See Division approval memo..pdf,4._EUA_LARD_Material_CBER_Correspondence.zip,.pdf
10__2_25-Nov-2020_---__RE_ Clarification to text in Section 11 Program schema regar.pdf,4._EUA_LARD_Material_CBER_Correspondence.zip,.pdf
11---5_18-Apr-2021_---__RE_.pdf,4._EUA_LARD_Material_CBER_Correspondence.zip,.pdf
12---6_18-Apr-2021_---__RE_.pdf,4._EUA_LARD_Material_CBER_Correspondence.zip,.pdf
12__3_26-Nov-2020_---__RE_ VRBPAC briefing document_ 508-compliant safety and effic.pdf,4._EUA_LARD_Material_CBER_Correspondence.zip,.pdf
13---7_18-Apr-2021_---__RE_.pdf,4._EUA_LARD_Material_CBER_Correspondence.zip,.pdf
13__05-Dec-2020 --- _UC_ CBER comments on the Full EUA Prescribing Information included in.pdf,4._EUA_LARD_Material_CBER_Correspondence.zip,.pdf
14---10_18-Apr-2021_---__RE_.pdf,4._EUA_LARD_Material_CBER_Correspondence.zip,.pdf
14__06-Dec-2020 ---_UC_ Request for submission of udated cross-reference document and EUA.pdf,4._EUA_LARD_Material_CBER_Correspondence.zip,.pdf
15---12_18-Apr-2021_---__RE_ See Division approval memo..pdf,4._EUA_LARD_Material_CBER_Correspondence.zip,.pdf
15__07-Dec-2020 --- _UO_ UI_ UI_ UO_ REQUEST FOR MILESTONE DATES FOR 3 ACTIVE SURVIELANCE STU.pdf,4._EUA_LARD_Material_CBER_Correspondence.zip,.pdf
16---13_18-Apr-2021_---__RE_.pdf,4._EUA_LARD_Material_CBER_Correspondence.zip,.pdf
16__08-Dec-2020 --- _UI_ UO_ UO_ UI_ IR RE FOUR SUBJECTS WITH BELL`S PALSY - LATERALITY OF TH.pdf,4._EUA_LARD_Material_CBER_Correspondence.zip,.pdf
17---14_18-Apr-2021_---__RE_.pdf,4._EUA_LARD_Material_CBER_Correspondence.zip,.pdf
17__09-Dec-2020 --- _UI_ UO_ UI_ UO_ PVP IR RE ANAPHYLACTIC REACTIONS - see EDR for full comm.pdf,4._EUA_LARD_Material_CBER_Correspondence.zip,.pdf
